record,uuid,date,markers,status,quarter,QCountry,QDomestic,QGDPR,QState,QBorn,QRegion,QAge,AgeR,QGeneration,Q100r1,Q100r2,Q100r3,Q100r4,Q100r5,Q100r6,Q100r7,Q100r8,Q100r9,Q100r10,Q110r1,Q110r2,Q110r3,Q110r4,Q110r5,Q110r6,Q110r997,Q110r998,Q110r999,Q120,Q130,Q140,Q201r1,Q201r2,Q201r3,Q201r4,Q201r5,Q201r6,Q201r7,Q201r8,Q201r9,Q201r10,Q201r11,Q201r12,Q201r13,Q201r14,Q201r15,Q201r16,Q202r1,Q202r2,Q202r3,Q202r4,Q202r5,Q202r6,Q202r7,Q202r8,Q203r1,Q203r2,Q203r3,Q203r4,Q203r5,Q203r6,Q203r7,Q203r8,Q203r9,Q203r10,Q203r11,Q203r12,Q203r13,Q203r14,Q203r15,Q203r16,Q204r1,Q204r2,Q204r3,Q204r4,Q204r5,Q204r6,Q204r7,Q204r8,Q204r9,Q204r10,QJob,QJobr97oe,QIndustry,QIndustryr97oe,QRevenue,QEmployees,Exit,vlist,qtime,vos,vosr15oe,vbrowser,vbrowserr15oe,vmobiledevice,vmobileos,start_date,vdropout,ipAddress,source,decLang,list,userAgent,fp_etag,fp_html5,fp_flash,fp_browser,dcua,url,session,sesskey,identifier,speeder,qtime_min,filter_$,SL,Q100_SD,Q201_SD,SL_Count,gibberish_Exit,gibberish_count,strikes,Total,QIndustryBanner
120,8nncvj696x82ksem,3/18/21 10:05,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,5,1985,4,36,3,5,8,6,6,6,8,7,6,7,7,7,0,0,0,0,0,1,0,0,0,4,5,4,3,3,3,2,1,3,1,2,1,1,3,3,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,99,8,N/A,1,186.42,13, ,11, ,5,6,3/18/21 10:01, ,208.121.5.170, , ,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",mg5bf3e88tqj2cen,gts0k3fvahfg22d8, , ,..,/survey/selfserve/2135/210303?identifier=K_460dff0a01&sesskey=g3n4p0g8kv636xps,gts0k3fvahfg22d8,g3n4p0g8kv636xps,K_460dff0a01,0,3.107,1,0,0.788810638,0.928708781,0,0,0,0,1,1
125,dh6h80b7p6wmv398,3/18/21 10:05,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,3,1966,4,55,5,4,10,10,10,10,8,9,9,9,9,9,0,0,0,0,1,0,0,0,0,5,6,5,3,3,3,3,2,4,2,3,3,3,4,3,3,2,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, ,4, ,1,1, ,1,149.21,4, ,10, ,5,6,3/18/21 10:02, ,192.199.232.43, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54",zc2735b9ubg0c319,uhcx5ky05g3ngv75, , ,..,/survey/selfserve/2135/210303?identifier=K_e769d8e546&sesskey=g2q3e7ex4k5tw6k6,uhcx5ky05g3ngv75,g2q3e7ex4k5tw6k6,K_e769d8e546,0,2.486833333,1,0,0.674948558,0.573730483,0,0,0,0,1,1
128,byzfy7g51xsftjj9,3/18/21 10:06,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,30,1969,1,52,5,4,10,10,8,10,8,10,8,8,10,10,0,1,0,0,0,0,0,0,0,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,2,1, ,1,121.95,5, ,10, ,5,6,3/18/21 10:04, ,73.199.75.153, , ,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",grek1vzq92x9d4pe,bcpc4k8rqsb5xusf, , ,..,/survey/selfserve/2135/210303?identifier=K_fme4snp98y&sesskey=g2vom71dqqyd1w1c,qdvx2fsnwcn8ccxd,g2vom71dqqyd1w1c,K_fme4snp98y,0,2.0325,1,0,1.032795559,0.573730483,0,0,0,0,1,1
132,uwd1xgycppejqq6v,3/22/21 8:01,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,9,1973,3,48,4,4,9,9,9,9,8,8,8,8,7,9,0,0,0,0,0,0,0,1,0,4,3,3,4,4,4,4,4,4,1,1,1,4,1,4,4,1,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21, ,4, ,14,11, ,1,236.12,4, ,10, ,5,6,3/18/21 10:05, ,40.94.33.10, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.57",swfzeqvn22xsgn1k,w53t0aknr9pj73ag, , ,..,/survey/selfserve/2135/210303?identifier=K_d7ed188421&sesskey=g1byggsibgueivhv,w53t0aknr9pj73ag,g1byggsibgueivhv,K_d7ed188421,0,3.935333333,1,0,0.699205899,1.436140662,0,0,0,0,1,1
142,8yrjswmewwyxmpfy,3/18/21 10:41,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,13,1988,2,33,3,5,10,9,7,5,8,7,8,10,7,10,0,0,0,0,0,1,0,0,0,8,5,5,3,3,3,3,1,3,1,1,1,3,1,3,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32, ,4, ,13,6, ,1,2001.27,4, ,10, ,5,6,3/18/21 10:08, ,52.2.239.219, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36", , , , ,..,/survey/selfserve/2135/210303?identifier=K_6fk74rlr3u&sesskey=g2aqjnztn0wino6h,6q5wp60x6qe8g6wt,g2aqjnztn0wino6h,K_6fk74rlr3u,0,33.3545,0,0,1.663329993,1.024695077,0,0,0,0,1,1
158,kdaycja9vmkr9qyp,3/18/21 10:18,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,38,1984,1,37,3,5,10,8,8,8,10,1,10,5,10,8,0,0,0,0,0,0,1,0,0,5,3,5,1,1,2,2,3,3,1,3,1,1,1,3,1,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,14,7, ,1,175.29,15, ,12, ,5,6,3/18/21 10:15, ,71.112.144.84, , ,1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0,qk8s4z3qcg9pz161,ez1sf7ay400r9f3y, , ,..,/survey/selfserve/2135/210303?identifier=K_deay8kv5fb&sesskey=g3id4703m31e9xg4,ez1sf7ay400r9f3y,g3id4703m31e9xg4,K_deay8kv5fb,0,2.9215,1,0,2.859681412,0.930949336,0,0,0,0,1,1
186,dw9xmpdqjauus1nt,3/18/21 10:27,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,1,1982,3,39,3,5,9,5,4,4,7,6,8,7,9,6,0,0,0,0,0,0,0,1,0,5,5,6,3,3,4,3,3,4,2,3,4,3,4,3,4,1,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, ,4, ,99,3, ,1,287.73,12, ,11, ,1,1,3/18/21 10:22, ,92.119.17.181, , ,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1",v07d7j3fk08ubj9p,6b3zged4fau7t9cj, , ,si,/survey/selfserve/2135/210303?identifier=K_972ffb94d6&sesskey=g29dk8sjnjc4b5mu&mobile=yes,6b3zged4fau7t9cj,g29dk8sjnjc4b5mu,K_972ffb94d6,0,4.7955,1,0,1.840893503,0.806225775,0,0,0,0,1,1
189,5yh0srjf74h1119u,3/18/21 10:25,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,38,1981,1,40,4,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,99,2, ,1,127.78,4, ,12, ,5,6,3/18/21 10:23, ,173.163.179.37, , ,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,agqszx1hxazywwzr,sv0n2cpjgeets5k8, , ,..,/survey/selfserve/2135/210303?identifier=K_0gjqvbnsot&sesskey=g0w50wlmkt9kzu1z,8p6g6bm4agq41m13,g0w50wlmkt9kzu1z,K_0gjqvbnsot,0,2.129666667,1,1,0,0.5,1,0,0,1,1,1
192,ztf3j6sm8r10eqke,3/18/21 10:28,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,13,1956,2,65,6,3,8,3,3,5,1,9,1,9,9,2,0,0,0,0,0,1,0,0,0,7,5,5,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31, ,4, ,1,1, ,1,280.43,4, ,10, ,5,6,3/18/21 10:23, ,76.227.12.226, , ,1,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",3x3hx0j5js6hbbgn,cskuzqc28rsmvs2r, , ,..,/survey/selfserve/2135/210303?identifier=K_d8x8o4g81r&sesskey=g2i4wethxq68oxmv,cskuzqc28rsmvs2r,g2i4wethxq68oxmv,K_d8x8o4g81r,0,4.673833333,1,0,3.431876714,0.5,0,0,0,0,1,1
214,25nx6sgv8k8s6epn,3/18/21 10:32,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,6,1952,4,69,6,3,10,8,8,9,10,8,9,9,1,9,0,0,0,0,0,0,1,0,0,3,2,2,3,3,3,3,3,3,2,2,3,3,3,3,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,1,1,Preparing for social unrest.,1,353.95,5, ,10, ,5,6,3/18/21 10:26, ,97.118.224.151, , ,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",fd0rajac1nvpfc8r,r3pkqq7s8rst3z1p, , ,..,/survey/selfserve/2135/210303?identifier=K_b53e7e644b&sesskey=g0cyphs9n4s57353,r3pkqq7s8rst3z1p,g0cyphs9n4s57353,K_b53e7e644b,0,5.899166667,1,0,2.601281735,0.885061203,0,0,0,0,1,1
219,twsjcgyb4aepdgau,3/18/21 12:44,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,25,1981,2,40,4,5,9,10,10,10,4,9,5,7,5,1,0,1,0,1,0,0,0,0,0,8,3,3,2,4,4,2,4,4,1,1,2,3,3,4,4,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4, ,14,11, ,1,8226.08,4, ,12, ,5,6,3/18/21 10:27, ,40.130.106.126, , ,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,a4s04g0brjevrgva,2vd7eu18pj90vtrw, , ,..,/survey/selfserve/2135/210303?identifier=K_ypdwbl2l2k&sesskey=g0ga86o1ta4ojt50,vag0wgtzegc4hgj9,g0ga86o1ta4ojt50,K_ypdwbl2l2k,0,137.1013333,0,0,3.12694384,1.258305739,0,0,0,0,1,1
222,28fmxm1fs3eabqz6,3/18/21 10:32,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,31,1980,4,41,4,4,7,7,7,6,8,8,7,8,7,7,0,0,0,0,0,1,0,0,0,8,7,7,4,4,3,2,3,3,1,1,1,3,4,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,13,7, ,1,205.86,4, ,10, ,5,6,3/18/21 10:28, ,174.28.225.243, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",2pmy2eqemw3p6crx,rb8mc9n6m91ujkmw, , ,..,/survey/selfserve/2135/210303?identifier=K_4whuzhzbdw&sesskey=g3mfnlvzpn8523gi,0x86m4rzq49un7aw,g3mfnlvzpn8523gi,K_4whuzhzbdw,0,3.431,1,0,0.632455532,1.258305739,0,0,0,0,1,1
223,8y3r5x3m4y1fc3m7,3/18/21 10:33,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,22,1969,2,52,5,4,10,5,5,6,7,6,7,6,5,10,0,0,0,0,1,0,0,0,0,3,3,3,1,2,2,2,2,3,1,3,2,1,1,1,2,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4, ,14,11, ,1,263.04,4, ,10, ,5,6,3/18/21 10:29, ,138.43.61.178, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54",98wn5f5619w333mc,m3ucj6bpzet9yjjh, , ,..,/survey/selfserve/2135/210303?identifier=K_6h514qak9r&sesskey=g02q692gykyjdtur,m3ucj6bpzet9yjjh,g02q692gykyjdtur,K_6h514qak9r,0,4.384,1,0,1.888562063,0.704154339,0,0,0,0,1,1
251,t35d6xa2wmrk9xjy,3/18/21 10:42,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,49,1962,2,59,5,3,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,1,0,0,0,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,13,8, ,1,146.9,4, ,10, ,5,6,3/18/21 10:38, ,38.132.116.155, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54", , , , ,..,/survey/selfserve/2135/210303?identifier=K_e20ls1brqu&sesskey=g1tbgeuqtpoz4x7y,d9vk4nt0nswm4v30,g1tbgeuqtpoz4x7y,K_e20ls1brqu,0,2.448333333,1,1,0,0,2,0,0,2,1,1
259,vc9w1f520ng56c20,3/18/21 10:44,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,13,1954,2,67,6,3,8,7,7,9,4,7,5,4,9,10,0,0,0,0,0,0,0,1,0,3,11,11,1,4,4,1,2,4,1,1,4,2,1,4,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,99,11, ,1,214.12,14, ,12, ,1,2,3/18/21 10:40, ,107.215.132.157, , ,1,Mozilla/5.0 (Android 9; Mobile; rv:86.0) Gecko/86.0 Firefox/86.0,8b99d7gtnqctycz4,fztuts5st3wzm55k, , ,sa,/survey/selfserve/2135/210303?identifier=K_ap8dn0ivgl&sesskey=g295ns4vwi22jgk5&mobile=yes,3dz9x5amhk4huj8t,g295ns4vwi22jgk5,K_ap8dn0ivgl,0,3.568666667,1,0,2.108185107,1.388944443,0,0,0,0,1,1
