record,uuid,date,markers,status,QCountry,QDomestic,QGDPR,QState,QRegion,QBorn,QAge,AgeR,QGeneration,Q100r1,Q100r2,Q100r3,Q100r4,Q100r5,Q100r6,Q100r7,Q100r8,Q100r9,Q100r10,Q100r11,Q100r12,Q110Ar1,Q110Ar2,Q110Ar3,noanswerQ110A_r99,Q110Br1,Q110Br2,Q110Br3,noanswerQ110B_r99,Q112,Q114,Q115r1,Q115r2,Q115r3,Q115r4,Q115r5,Q115r6,Q115r997,Q115r998,Q115r999,Q120,Q125,Q127,Q130r1,Q130r2,Q130r3,Q130r4,Q130r5,Q130r6,Q130r7,Q130r8,Q130r9,Q130r10,Q130r11,Q130r12,Q130r13,Q130r14,Q130r20,Q130r21,Q130r22,Q130r23,Q130r24,Q130r25,Q130r26,Q130r15,Q130r16,Q130r17,Q130r18,Q140r1,Q140r2,Q140r3,Q140r4,Q140r5,Q140r6,Q140r7,Q140r20,Q140r21,Q140r22,Q140r23,Q140r97,Q140r997,Q140r998,Q140r999,Q145r1,Q145r2,Q145r3,Q145r4,Q145r5,Q145r6,Q145r7,Q145r8,Q150r1,Q150r2,Q150r3,Q150r4,Q150r5,Q150r6,Q150r7,Q150r8,Q150r9,Q150r10,Q150r11,Q150r20,Q150r21,Q150r23,Q150r12,Q150r13,Q150r14,Q150r15,Q150r16,Q150r24,Q150r25,Q150r26,Q150r97,Q150r98,Q150r99,Q153r1,Q153r2,Q153r3,Q153r10,Q153r12,Q153r13,Q153r14,Q153r15,Q153r16,Q153r4,Q153r5,Q153r6,Q155r1,Q155r2,Q155r3,Q155r4,Q155r5,Q155r6,Q155r7,Q155r20,Q155r21,Q155r8,Q155r9,Q155r10,Q155r11,Q155r12,Q155r13,Q156Ar1,Q156Ar2,Q156Ar3,Q156Ar4,Q156Ar5,Q156Ar6,Q156Ar7,Q156Ar8,Q156Ar9,Q156Ar10,Q156Ar11,Q156Ar12,Q156Ar13,Q156Ar14,Q156Ar15,Q156Ar16,Q156Br1,Q156Br2,Q156Br3,Q156Br4,Q156Br5,Q156Br6,Q156Br7,Q156Br8,Q156Br9,Q156Br10,Q156Br11,Q156Br12,Q156Br13,Q156Br14,Q156Br15,Q156Br16,Q157,Q160r1,Q160r2,Q160r3,Q160r4,Q160r5,Q160r6,Q160r7,QJob,QIndustry,QIndustryr97oe,QRevenue,QEmployees,QAnythingElse,vlist,qtime,vos,vosr15oe,vbrowser,vbrowserr15oe,vmobiledevice,vmobileos,start_date,vdropout,ipAddress,source,decLang,list,userAgent,dcua,url,session,sesskey,identifier,fp_etag,fp_html5,fp_flash,fp_browser,qtime_min,Total,QEmployeesBanner,QIndustryBanner_1,QIndustryBanner_2,QIndustryBanner_3,QIndustryBanner_4,QIndustryBanner_5,QIndustryBanner_6,QIndustryBanner_7,QIndustryBanner_8,QIndustryBanner_9,QIndustryBanner_10,QIndustryBanner_11,QIndustryBanner_12,Q150Online,sumQ150OnlineTotal,Q150Offline,sumQ150OfflineTotal,Q150R,Q155NothingNew,Q157Months,Q157R
55,w0hgpryf64whd2jf,6/4/20 8:58,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,1,3,1974,46,4,4,3,6,5,6,3,5,2,1,7,9, ,8,98,0,2,0,90,10,0,0, , ,0,0,0,0,0,1,0,0,0,2,5,5,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,99,1,1,2,1,99,1,1,1,3,3,99,3,1,1,99, ,2,2,2,2, ,2,2,2, , , , ,2,2, ,8,3,4,3,3,3,3,5,30,2,Surveying & Mapping,6,4, ,1,428.88,4, ,10, ,5,6,6/4/20 8:50, ,143.59.208.66, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",..,/survey/selfserve/2135/200602?identifier=qa6xona5cth7u4io&sesskey=g12fi8pyy0avm72k,3svbsp0mhrbc0273,g12fi8pyy0avm72k,qa6xona5cth7u4io,v9g8ctkzcbme2mxj,3svbsp0mhrbc0273, , ,7.148,1,2,1, , ,1, , , , , , , , , , , , , ,2,6,2
158,rn1hwn877c9r0qdw,6/4/20 9:45,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,14,2,1970,50,5,4,8,10,10,10,5,7,10,98,98,98, ,8,50,50,0,0,5,75,20,0, , ,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,3,3,3,1,3,1,3,99,3,1,3,2,2,3,3, , , , ,2, ,2, , , ,2, ,99,2, , ,8,4,5,3,4,3,4,3,5,5, ,5,1, ,1,598.14,14, ,10, ,1,2,6/4/20 9:35, ,73.208.227.9, , ,1,"Mozilla/5.0 (Linux; Android 9; SM-N950U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.83 Mobile Safari/537.36",sa,/survey/selfserve/2135/200602?identifier=0185t6ekyogemz4k&sesskey=g0v5pwdki3wxgn9t&mobile=yes,7jr686wwma807thg,g0v5pwdki3wxgn9t,0185t6ekyogemz4k,k96ahr11h5tedqwm,7jr686wwma807thg, , ,9.969,1,1, , , , , ,1, , , , , , , , , , , ,2,6,2
289,gw4qdtfx4mgb6chq,6/4/20 10:23,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,14,2,1960,60,6,3,10,9,8,8,5,9,7,3,7,3, ,8, , , ,1, , , ,1, , ,0,0,0,0,0,0,1,0,0,3,3,4,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,3,1,3,2,3,3,1,3,3,3,3,3,1,1,1,3, ,3, ,3, , ,3, , , , , ,3,3,3, ,8,2,5,3,4,4,3,5,6,2, ,4,2, ,1,685.09,13, ,11, ,5,6,6/4/20 10:11, ,68.39.148.11, , ,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",..,/survey/selfserve/2135/200602?identifier=q1kn55iekny4wxye&sesskey=g0wlszgjbf5x88q1,bf73tkhv7mt0a4t2,g0wlszgjbf5x88q1,q1kn55iekny4wxye,aw474ba6eer2au9b,7hdzgvpcrm5zc7d2, , ,11.41816667,1,1,1, , ,1, , , , , , , , , , , , , ,2,6,2
294,h93wypdgdv1c60f3,6/4/20 10:25,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,13,2,1980,40,4,4,7,5,6,6,1,2,9,1,7,7, ,5,65,25,10,0,50,25,25,0, , ,0,0,0,0,1,0,0,0,0,4,4,6,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , ,8,4,5,4,5,4,4,3,7,7, ,14,99,N/A,1,320.59,4, ,3, ,5,6,6/4/20 10:18, ,38.206.2.12, , ,1,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,..,/survey/selfserve/2135/200602?identifier=m9nve5wznq04qxm2&sesskey=g107zox4hegupxho,j8k46fsdqs66c6ug,g107zox4hegupxho,m9nve5wznq04qxm2, , , , ,5.343166667,1, , , , , , , , ,1, , , , , , , , , ,2,6,2
306,uk146e83bbwjxcty,6/4/20 10:35,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,18,3,1957,63,6,3,10,8,8,9,10,9,8,9,97,8, ,9,60,40,0,0,100,0,0,0, , ,0,0,0,0,0,0,1,0,0,97,2,97,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,1,99,99,99,1,99,99, , , , , , , , , ,99, , , ,99, , ,8,4,4,4,6,4,6,4,8,97,School,99,3,No,1,780.38,4, ,10, ,5,6,6/4/20 10:22, ,12.70.167.26, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",..,/survey/selfserve/2135/200602?identifier=arh2bgey3spadov0&sesskey=g3mdxrynrj71secb,cmveqz1v0uemdbwg,g3mdxrynrj71secb,arh2bgey3spadov0,8dgh0ssv8q6tuhc5,cmveqz1v0uemdbwg, , ,13.00633333,1,2, , , , , , , , , , , , , , , , , ,2,6,2
376,27wbttrbf6f0qkb1,6/4/20 10:57,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,44,4,1999,21,2,6,7,7,6,5,5,9,6,6,5,7, ,6,50,50,0,0,40,60,0,0, , ,0,0,0,0,0,0,1,0,0,5,3,5,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,3,99,2,99,99,99,3,2,3,99,3,3,1,3,3,2, , ,2, , , , ,3, , , , ,3, , ,8,3,4,5,3,4,2,3,19,9, ,4,2, ,1,563.3,4, ,12, ,5,6,6/4/20 10:48, ,173.165.141.113, , ,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0,..,/survey/selfserve/2135/200602?identifier=q3r8fiy3w035svk6&sesskey=g0avotqmivqnqwjo,hcwr5ukzmcze3eqc,g0avotqmivqnqwjo,q3r8fiy3w035svk6,kdw0krkv9yza3nh2,hcwr5ukzmcze3eqc, , ,9.388333333,1,1, , , , , , ,1, , , , , , , , , , ,2,6,2
502,mnb89bu0bskpvn4h,6/4/20 11:37,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,32,1,1945,75,7,2,8,5,5,5,10,5,4,2,1,5, ,8, , , ,1, , , ,1, , ,0,0,0,0,1,0,0,0,0,3,5,5,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,99,3,3,3,1,99,99,3,2,99,3,3,3,2,99,2, , , , ,2, , , ,2, , , , ,3, ,2,8,3,3,4,3,4,3,3,30,8, ,3,2,Nothing further,1,454.77,13, ,11, ,5,6,6/4/20 11:29, ,184.152.177.4, , ,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15",..,/survey/selfserve/2135/200602?identifier=ssqof8edjme56izr&sesskey=g02w3rnufun4z285,pnrcze2z4wkwa8xw,g02w3rnufun4z285,ssqof8edjme56izr,hq9ddqbjf5thj39c,pnrcze2z4wkwa8xw, , ,7.5795,1,1, , , , ,1, , , , , , , , , , , , ,2,6,2
537,dp6uh4ad9b0hms4a,6/4/20 12:24,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,22,2,1955,65,6,3,7,7,6,5,2,2,2,98,4,98, ,7,90,10,0,0,80,20,0,0, , ,0,0,0,0,0,0,0,1,0,5,4,5,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3, , , , , , , , , , , , ,2, ,2, ,8,6,6,6,6,6,6,6,23,7,Aerospace,4,4, ,1,1216.91,4, ,2, ,5,6,6/4/20 12:04, ,50.199.39.50, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",..,/survey/selfserve/2135/200602?identifier=6v5kjrt9m2mpre85&sesskey=g0qpru244mq89gyd,zmz3zhcgntbfx9w7,g0qpru244mq89gyd,6v5kjrt9m2mpre85,e2a21zptavq8ckhx,zmz3zhcgntbfx9w7, , ,20.28183333,1,2, , , , , , , ,1, , , , , , , , , ,2,6,2
557,qyk3dkdanj2w9qna,6/4/20 12:17,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,32,1,1969,51,5,4,9,9,7,8,9,9,6,6,9,9, ,8,50,50,0,0, , , ,1, , ,0,1,0,0,0,0,0,0,0,3,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,3,3,3,2,99,99,1,3,3,3,3,3,1,1,1,3, , , ,2, , ,2, , , , , ,2,2,2, ,8,3,4,4,4,4,4,4,2,1, ,3,2, ,1,385.64,4, ,10, ,5,6,6/4/20 12:10, ,172.254.162.27, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",..,/survey/selfserve/2135/200602?identifier=zntqoyu2g0zn7asv&sesskey=g0v2i1sknfrkdox2,gfnr5h7qf539tzyn,g0v2i1sknfrkdox2,zntqoyu2g0zn7asv,juzfg1npehtt8b9h,v1gay2sphearcc5y, , ,6.427333333,1,1,1,1, , , , , , , , , , , , , , , ,2,6,2
560,7ctxc9f9s9v9r1ye,6/4/20 12:22,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,35,2,1980,40,4,4,10,8,9,9,10,10,8,9,10,7, ,8, , , ,1, , , ,1, , ,0,0,0,0,0,0,0,1,0,2,2,2,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3, , , , , , , , , , , , , , ,2, ,8,3,5,3,3,3,3,3,12,2, ,99,1, ,1,259.62,14, ,10, ,3,2,6/4/20 12:17, ,184.195.23.156, , ,1,"Mozilla/5.0 (Linux; Android 4.0.3; KFOT) AppleWebKit/537.36 (KHTML, like Gecko) Silk/73.7.5 like Chrome/73.0.3683.90 Safari/537.36",ta,/survey/selfserve/2135/200602?identifier=5k09f0q7uttcvyq7&sesskey=g1jtfge986kqbes2&mobile=yes,f9ua5r2xkr9tzr9k,g1jtfge986kqbes2,5k09f0q7uttcvyq7,v0uyv1s5jj81mn7j,f9ua5r2xkr9tzr9k, , ,4.327,1,1,1, , ,1, , , , , , , , , , , , , ,2,6,2
820,ez53k68aefh87ndp,6/4/20 13:43,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,32,1,1942,78,7,2,8,1,1,1,1,4,1,3,1,98, ,1,90,10,0,0, , , ,1, , ,0,0,0,0,1,1,0,0,0,7,97,97,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , ,8,3,5,3,3,3,3,3,4,97,Building services,3,3, ,1,598.35,13, ,11, ,5,6,6/4/20 13:33, ,184.153.217.119, , ,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15",..,/survey/selfserve/2135/200602?identifier=vk1ar2zboq4fda8g&sesskey=g1ggprolv1zavib7,spaeywxvsg7119tu,g1ggprolv1zavib7,vk1ar2zboq4fda8g,2gddevz920h8css7,spaeywxvsg7119tu, , ,9.9725,1,2, , , , , , , , , , , , , , , , , ,2,6,2
825,jdd8rg75247802z9,6/4/20 13:42,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,49,2,1992,28,2,5,10,6,9,8,5,8,9,10,6,9, ,9,75,25,0,0,75,20,5,0, , ,0,0,0,0,0,1,0,0,0,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,99,99,1,3,1,99,1,1,1,99,3,3,1,1,1,1, , ,2, ,2, ,2,2,2, , , ,2,2,2,2,8,5,5,5,4,5,5,5,12,97,Utility,99,10, ,1,288.34,14, ,10, ,1,2,6/4/20 13:37, ,24.208.91.238, , ,1,"Mozilla/5.0 (Linux; Android 9; SM-G950U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.83 Mobile Safari/537.36",sa,/survey/selfserve/2135/200602?identifier=andu83wh7liwddmg&sesskey=g318kmey2n6phd4w&mobile=yes,99pmjh1fw0fwya4v,g318kmey2n6phd4w,andu83wh7liwddmg,6ht6k4d5g7r8nba8,dp8vvfms18czfvxe, , ,4.805666667,1,5, , , , , , , , , , , , , , , , , ,2,6,2
828,2v5yp4z0s3du0v8z,6/4/20 13:46,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,30,1,1966,54,5,4,7,8,10,6,7,7,2,1,1,1, ,8,100,0,0,0,66,0,34,0, , ,0,0,0,0,0,0,1,0,0,2,2,2,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,99,3,1,2,3,1,3,2,1,3,3,99,1,1,2, , , ,2,1, ,2, ,1,3, , , ,3,2,1,8,3,3,3,3,4,3,3,27,97,Scientific instrumentation,7,3, ,1,453.09,4, ,12, ,5,6,6/4/20 13:38, ,64.67.9.194, , ,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0,..,/survey/selfserve/2135/200602?identifier=s1wf3nlehemq2fsm&sesskey=g3qblup11lzopylq,c19vgwubczchg5ga,g3qblup11lzopylq,s1wf3nlehemq2fsm,66xk19z77b1wr05d,c19vgwubczchg5ga, , ,7.5515,1,2, , , , , , , , , , , , , , , , , ,2,6,2
866,kwbngrfd6sj8fn6g,6/4/20 14:22,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,1,3,1946,74,7,3,8,8,8,7,1,2,9,98,2,98, ,4,40,20,40,0,40,10,50,0, , ,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,3,3,3,1,3,3,3,3,3,3,3,2,3, ,2, , , , ,2, , , , , , , ,1, ,8,6,6,6,6,6,6,6,12,6,hotel,99,2, ,1,838.7,4, ,2, ,5,6,6/4/20 14:08, ,40.94.35.15, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363",..,/survey/selfserve/2135/200602?identifier=2rll93a23a4eypbj&sesskey=g0qjv7ib05tjb79g,7sanp1cv71ebspbp,g0qjv7ib05tjb79g,2rll93a23a4eypbj, , , , ,13.97833333,1,1, , , , , , , , , , , ,1, , , , , ,2,6,2
870,3f8y42xa17njy6j0,6/4/20 14:16,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,16,2,1967,53,5,4,10,10,10,10,10,10,10,10,10,10, ,10,0,50,50,0,0,50,50,0, , ,1,0,0,0,0,0,0,0,0,97,97,97,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,7,5,5,5,5,5,5,5,1,1, ,14,4, ,1,214.65,4, ,10, ,5,6,6/4/20 14:12, ,75.23.240.110, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36 Edg/83.0.478.44",..,/survey/selfserve/2135/200602?identifier=z25glpesj81j9oce&sesskey=g3h8mmzxijqq0hex,hzkgmcc63ffgm9am,g3h8mmzxijqq0hex,z25glpesj81j9oce,10r29vs5qy4ys4sr,hzkgmcc63ffgm9am, , ,3.5775,1,2,1,1, , , , , , , , , , , , , , , ,1,5,2
873,kur521pgcpgaqhc4,6/4/20 14:31,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,40,3,1959,61,6,3,10,10,10,10,9,7,10,10,8,5, ,9, , , ,1, , , ,1, , ,0,0,0,0,0,0,0,1,0,2,3,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,99,3,99,3,3,3,3,99,99,3,99,3,99,3, , , , , , , , , , , , , , , , ,8,5,4,3,3,3,3,4,7,2, ,3,1, ,1,757.9,12, ,11, ,1,1,6/4/20 14:18, ,216.4.97.114, , ,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",si,/survey/selfserve/2135/200602?identifier=inwnuioctmwwsbdw&sesskey=g1zldljcpzw2xex0&mobile=yes,4fhg76xdp51p9ven,g1zldljcpzw2xex0,inwnuioctmwwsbdw,5p0n87ur1djd0us6,4fhg76xdp51p9ven, , ,12.63166667,1,1,1, , ,1, , , , , , , , , , , , , ,2,6,2
978,pgyat7nz62593v21,6/4/20 14:51,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,32,1,1947,73,7,3,10,10,10,10,10,8,9,10,10,10, ,10,50,50,0,0,100,0,0,0, , ,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,1, , , , , , , , ,2, , , , ,2, ,2,8,6,6,6,3,3,6,3,2,1, ,3,1, ,1,442.54,4, ,10, ,5,6,6/4/20 14:43, ,40.94.226.17, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",..,/survey/selfserve/2135/200602?identifier=jj6ggl4lx1ui6468&sesskey=g323jzfe5517m24v,2nre7jrsefgd0w02,g323jzfe5517m24v,jj6ggl4lx1ui6468, , , , ,7.375666667,1,1,1,1, , , , , , , , , , , , , , , ,2,6,2
992,n5re95xpja4p1dr9,6/4/20 15:00,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,35,2,1976,44,4,4,8,6,5,5,8,8,4,4,1,4, ,8,85,15,0,0,85,15,0,0, , ,0,0,0,0,0,0,1,0,0,1,2,2,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,2,1,3,3,1,1,2,2,2,3,3,1,3,2,3,2,2,2, , ,2,2,2,2,2, , ,3, ,2,6,3,3,3,3,3,3,3,2,1, ,99,5, ,1,784.73,4, ,10, ,5,6,6/4/20 14:47, ,99.3.19.32, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",..,/survey/selfserve/2135/200602?identifier=pqpekokq3ho0pzdg&sesskey=g0ytotg8bdljkryy,znbt511mt4hv2xrc,g0ytotg8bdljkryy,pqpekokq3ho0pzdg,rsvnsw6au596fyec,znbt511mt4hv2xrc, , ,13.07883333,1,3,1,1, , , , , , , , , , , , , , , ,2,4,2
1004,w2pat6bz1grjvk2p,6/4/20 15:12,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,43,3,1945,75,7,2,10,5,4,3,1,2,2,3,8,3, ,1,70,20,10,0,80,20,0,0, , ,0,1,0,1,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,99,3,99,3,3,99,99,99,99,99,99,99,1,99,3,99, , , , , , , , , , , , ,3, , , ,8,4,5,5,5,4,6,6,23,4, ,1,1, ,1,834.74,5, ,12, ,5,6,6/4/20 14:57, ,73.166.150.180, , ,1,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0,..,/survey/selfserve/2135/200602?identifier=5gx1deu1t7f0zfya&sesskey=g0ujz5f116po08pd,ejw17k1fpcfrb2xq,g0ujz5f116po08pd,5gx1deu1t7f0zfya,fnn5097a0z1vvbpa,ejw17k1fpcfrb2xq, , ,13.91233333,1,1,1, ,1, , , , , , , , , , , , , , ,2,6,2
